word,dimension_fin
美,appearance
帅,appearance
漂亮,appearance
好看,appearance
美丽,appearance
天香国色,appearance
花容月貌,appearance
天姿国色,appearance
帅气,appearance
眉清目秀,appearance
美女,appearance
俊美,appearance
苗条,appearance
耐看,appearance
俊秀,appearance
俊俏,appearance
靓女,appearance
靓丽,appearance
英俊,appearance
白净,appearance
可爱,appearance
沉鱼落雁,appearance
迷人,appearance
亭亭玉立,appearance
清秀,appearance
白,appearance
俏丽,appearance
国色天香,appearance
美貌,appearance
高挑儿,appearance
妩媚,appearance
普通,appearance
自然,appearance
高,appearance
酷炫,appearance
成熟,appearance
玉洁冰清,appearance
闭月羞花,appearance
清纯,appearance
性感,appearance
高大,appearance
细嫩,appearance
童颜鹤发,appearance
惊艳,appearance
面善,appearance
丰腴,appearance
甜美,appearance
一表人才,appearance
强壮,appearance
婀娜,appearance
女神,appearance
文质彬彬,appearance
鹤发童颜,appearance
健壮,appearance
干净,appearance
秀色可餐,appearance
圆润,appearance
挺拔,appearance
柔美,appearance
身强力壮,appearance
西施,appearance
姣好,appearance
娇艳,appearance
年轻,appearance
光彩照人,appearance
壮实,appearance
匀称,appearance
光鲜,appearance
笔挺,appearance
小巧玲珑,appearance
端庄,appearance
精致,appearance
壮健,appearance
阳光,appearance
稚气,appearance
骨感,appearance
明眸皓齿,appearance
魅力,appearance
衣冠楚楚,appearance
顺眼,appearance
斯文,appearance
风华正茂,appearance
娇柔,appearance
精壮,appearance
淑女,appearance
羞羞答答,appearance
粗壮,appearance
威猛,appearance
雪白,appearance
秀外慧中,appearance
强健,appearance
书生气,appearance
温文尔雅,appearance
珠圆玉润,appearance
时髦,appearance
整洁,appearance
明眸,appearance
慈祥,appearance
彪悍,appearance
倜傥,appearance
优雅,appearance
俏皮,appearance
剽悍,appearance
文静,appearance
素雅,appearance
雍容,appearance
儒雅,appearance
憨厚,appearance
憨实,appearance
饱经风霜,appearance
结实,appearance
阳刚,appearance
硬朗,appearance
气质,appearance
上相,appearance
飒爽,appearance
优美,appearance
健美,appearance
文雅,appearance
清新,appearance
和蔼,appearance
时尚,appearance
英武,appearance
文气,appearance
乖巧,appearance
朝气,appearance
精神,appearance
正点,appearance
神气,appearance
典雅,appearance
意气风发,appearance
恬静,appearance
朴素,appearance
威武,appearance
独特,appearance
短小精悍,appearance
灵透,appearance
柔和,appearance
吉人天相,appearance
凝脂,appearance
霸气,appearance
娴静,appearance
温柔,appearance
灵性,appearance
钟灵毓秀,appearance
健朗,appearance
奇特,appearance
健康,appearance
诱人,appearance
目光如炬,appearance
文绉绉,appearance
赶时髦,appearance
严肃,appearance
血气方刚,appearance
微笑,appearance
粗豪,appearance
丑,appearance
胖,appearance
黢黑,appearance
丑陋,appearance
胡子拉碴,appearance
丑八怪,appearance
矮小,appearance
风流,appearance
乳臭未干,appearance
难看,appearance
肥胖,appearance
膀大腰圆,appearance
面黄肌瘦,appearance
矮,appearance
黑黢黢,appearance
瘦小,appearance
黑黝黝,appearance
苍老,appearance
秃顶,appearance
其貌不扬,appearance
消瘦,appearance
黑,appearance
妖艳,appearance
贼眉鼠眼,appearance
蓬头垢面,appearance
尖嘴猴腮,appearance
瘦弱,appearance
驼背,appearance
妖媚,appearance
虎背熊腰,appearance
娇媚,appearance
浓艳,appearance
灰头土脸,appearance
邋遢,appearance
皱纹,appearance
纤弱,appearance
憔悴,appearance
娇娆,appearance
土气,appearance
老气,appearance
凶巴巴,appearance
娇滴滴,appearance
獐头鼠目,appearance
油腻,appearance
不修边幅,appearance
青面獠牙,appearance
狰狞,appearance
凶恶,appearance
丑恶,appearance
贼头贼脑,appearance
粗犷,appearance
弱不禁风,appearance
凶悍,appearance
艳俗,appearance
囚首垢面,appearance
风骚,appearance
文弱,appearance
呆头呆脑,appearance
孱弱,appearance
慓悍,appearance
呆傻,appearance
凶狠,appearance
病弱,appearance
凶横,appearance
阴柔,appearance
脏,appearance
魅惑,appearance
冷若冰霜,appearance
老气横秋,appearance
傻乎乎,appearance
可怕,appearance
病态,appearance
愣头愣脑,appearance
凶猛,appearance
冷酷,appearance
呆滞,appearance
虚弱,appearance
呆板,appearance
恶煞,appearance
奇怪,appearance
冷傲,appearance
野性,appearance
清冷,appearance
羸弱,appearance
无精打采,appearance
病病歪歪,appearance
媚俗,appearance
古怪,appearance
傻呵呵,appearance
阴郁,appearance
粗糙,appearance
阴沉,appearance
凶狂,appearance
死气沉沉,appearance
滑稽,appearance
狂野,appearance
萎靡,appearance
首富,socioEconomicStatus
上流,socioEconomicStatus
富裕,socioEconomicStatus
土豪,socioEconomicStatus
成功,socioEconomicStatus
教师,socioEconomicStatus
富翁,socioEconomicStatus
巨富,socioEconomicStatus
显赫,socioEconomicStatus
富豪,socioEconomicStatus
尊贵,socioEconomicStatus
功成名就,socioEconomicStatus
腰缠万贯,socioEconomicStatus
富贵,socioEconomicStatus
富有,socioEconomicStatus
有名,socioEconomicStatus
财富,socioEconomicStatus
富足,socioEconomicStatus
殷富,socioEconomicStatus
高层,socioEconomicStatus
高人一等,socioEconomicStatus
风云人物,socioEconomicStatus
有头有脸,socioEconomicStatus
身价,socioEconomicStatus
华贵,socioEconomicStatus
著名,socioEconomicStatus
权威,socioEconomicStatus
豪气,socioEconomicStatus
阔绰,socioEconomicStatus
阔气,socioEconomicStatus
高贵,socioEconomicStatus
家喻户晓,socioEconomicStatus
农民,socioEconomicStatus
煊赫,socioEconomicStatus
体面,socioEconomicStatus
殷实,socioEconomicStatus
教授,socioEconomicStatus
优厚,socioEconomicStatus
气派,socioEconomicStatus
勤工俭学,socioEconomicStatus
默默无闻,socioEconomicStatus
穷,socioEconomicStatus
家徒四壁,socioEconomicStatus
财大气粗,socioEconomicStatus
贫穷,socioEconomicStatus
贫困,socioEconomicStatus
一贫如洗,socioEconomicStatus
贫苦,socioEconomicStatus
底层,socioEconomicStatus
穷困,socioEconomicStatus
穷苦,socioEconomicStatus
低层,socioEconomicStatus
一穷二白,socioEconomicStatus
高不可攀,socioEconomicStatus
下等,socioEconomicStatus
贫寒,socioEconomicStatus
一无所有,socioEconomicStatus
清贫,socioEconomicStatus
潦倒,socioEconomicStatus
低人一等,socioEconomicStatus
低等,socioEconomicStatus
寒酸,socioEconomicStatus
奢糜,socioEconomicStatus
穷酸,socioEconomicStatus
窘困,socioEconomicStatus
无名小卒,socioEconomicStatus
挥金如土,socioEconomicStatus
弱势,socioEconomicStatus
奢华,socioEconomicStatus
困苦,socioEconomicStatus
身败名裂,socioEconomicStatus
官僚,socioEconomicStatus
贫乏,socioEconomicStatus
卑贱,socioEconomicStatus
低贱,socioEconomicStatus
债台高筑,socioEconomicStatus
奢靡,socioEconomicStatus
清寒,socioEconomicStatus
人微言轻,socioEconomicStatus
困窘,socioEconomicStatus
养尊处优,socioEconomicStatus
拮据,socioEconomicStatus
卑微,socioEconomicStatus
落魄,socioEconomicStatus
窘迫,socioEconomicStatus
一文不名,socioEconomicStatus
囊中羞涩,socioEconomicStatus
草根,socioEconomicStatus
奢侈,socioEconomicStatus
低三下四,socioEconomicStatus
穷乏,socioEconomicStatus
低端,socioEconomicStatus
摆阔,socioEconomicStatus
清苦,socioEconomicStatus
微贱,socioEconomicStatus
不名一文,socioEconomicStatus
轻贱,socioEconomicStatus
低档,socioEconomicStatus
微不足道,socioEconomicStatus
倾家荡产,socioEconomicStatus
卑下,socioEconomicStatus
困难,socioEconomicStatus
惟我独尊,socioEconomicStatus
独裁,socioEconomicStatus
无足轻重,socioEconomicStatus
低声下气,socioEconomicStatus
凄惨,socioEconomicStatus
艰苦,socioEconomicStatus
挥霍,socioEconomicStatus
游手好闲,socioEconomicStatus
虚名,socioEconomicStatus
守财奴,socioEconomicStatus
一手遮天,socioEconomicStatus
低下,socioEconomicStatus
交际花,socialAbility
合群,socialAbility
能说会道,socialAbility
左右逢源,socialAbility
外向,socialAbility
吃得开,socialAbility
健谈,socialAbility
热情,socialAbility
平易近人,socialAbility
察言观色,socialAbility
好客,socialAbility
随和,socialAbility
主动,socialAbility
好说话,socialAbility
活跃,socialAbility
幽默,socialAbility
世故,socialAbility
伶牙俐齿,socialAbility
直爽,socialAbility
风趣,socialAbility
爽快,socialAbility
豪爽,socialAbility
活泼,socialAbility
开放,socialAbility
亲切,socialAbility
爽朗,socialAbility
够意思,socialAbility
投其所好,socialAbility
有趣,socialAbility
心直口快,socialAbility
率直,socialAbility
爽直,socialAbility
直性子,socialAbility
大大咧咧,socialAbility
和气,socialAbility
直率,socialAbility
识相,socialAbility
识趣,socialAbility
直肠子,socialAbility
客气,socialAbility
鬼灵精,socialAbility
直心眼儿,socialAbility
贴心,socialAbility
开朗,socialAbility
走心,socialAbility
率然,socialAbility
亲近,socialAbility
害羞,socialAbility
直性,socialAbility
谨言慎行,socialAbility
八面玲珑,socialAbility
友好,socialAbility
通达,socialAbility
外圆内方,socialAbility
诙谐,socialAbility
暖男,socialAbility
体贴,socialAbility
豪放,socialAbility
知趣,socialAbility
率性,socialAbility
和顺,socialAbility
圆滑,socialAbility
内向,socialAbility
笨嘴拙舌,socialAbility
油滑,socialAbility
老于世故,socialAbility
溜须拍马,socialAbility
怯场,socialAbility
巧舌如簧,socialAbility
